oid,ra,dec,Main identifier,Parrallax,Radial velocity,pmra,pmdec
661375,56.23688823538,24.09083230619,"Cl Melotte   22   494",0.2583,28.497,-0.658,-1.476
661667,56.245650107000834,23.388937609893613,"Cl Melotte   22   513",7.547,6.13199,19.889,-46.944
674502,56.25618199783,24.09236528395,"Cl Melotte   22   517",1.8619,27.76,-13.155,0.928
675824,56.26327408233,23.395689857960004,"Cl Melotte   22   525",1.8306,11.81,0.071,0.722
674503,56.28451113743999,24.771999680000008,"Cl Melotte   22   533",0.7212,-8.14,6.019,-5.273
674504,56.28664511904999,24.67526435447,"Cl Melotte   22   537",1.6881,-70.467796,38.177,-31.415
675825,56.2961042301,23.894762380139994,"Cl Melotte   22   560",3.1488,27.656,35.968,-29.029
674505,56.30209825625,24.1250186088,"Cl Melotte   22   570",0.8615,27.486,6.245,-4.952
676513,56.30292059991,23.2962699169,"Cl Melotte   22   580",2.4684,44.04,11.665,-3.58
674506,56.32240707144,24.888548444629997,"Cl Melotte   22   589",2.0002,-68.91,-0.714,-14.991
674507,56.3233941377,24.72458918083,"Cl Melotte   22   593",1.9554,29.87,9.089,-7.33
674487,56.33125060076999,24.180125667309998,"Cl Melotte   22   609",3.2638,-50.72,-11.615,-5.298
674511,56.35731533568,24.069227885669996,"Cl Melotte   22   648",1.5066,-25.002399,5.166,-25.728
675826,56.35210633467,23.48668771648,"Cl Melotte   22   649",3.2341,-10.2,9.281,12.018
675188,56.36638458422,24.6136137629,"Cl Melotte   22   656",1.0465,-65.56,0.424,-12.721
675595,56.358216712289995,23.43018219095,"Cl Melotte   22   659",5.9568,7.00993,16.155,-35.835
674512,56.371584851399994,24.245394930309995,"Cl Melotte   22   667",0.3851,-27.705924,2.899,-0.212
675827,56.36739122676,23.39883665538,"Cl Melotte   22   671",3.2826,29.02,43.859,-18.099
674253,56.37593722157541,24.312654917622226,"Cl Melotte   22   673",7.3388,6.08017,18.946,-47.25
675828,56.38132108788,23.86987130781,"Cl Melotte   22   685",3.8018,-4.601,-7.517,-15.686
675829,56.38016748219,23.620875835909995,"Cl Melotte   22   688",1.2762,0.25,-5.804,1.378
674488,56.40297417645001,24.901947408750004,"Cl Melotte   22   704",1.0406,123.76,18.289,-5.053
